OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
3137,H0189,Foothill,0,Los Angeles Department of Water & Power (LADWP),Los Angeles,9.9,Unit 1,WAT,10/6/1971 0:00,0,-118.4943684,34.31819157
3139,H0438,San Fernando,0,Los Angeles Department of Water & Power (LADWP),Los Angeles,6.4,"Unit 1, Unit 2",WAT,10/22/1922 0:00,0,-118.3855333,34.26057004
3140,H0616,North Hollywood Pumping Plant,0,Los Angeles Department of Water & Power (LADWP),Los Angeles,1,Unit 1,WAT,1/1/1993 0:00,0,-118.3908351,34.19448685
3141,S9155,Sepulveda Ambulatory Care Center,0,Not Available,Los Angeles,4,1,SUN,1/1/2012 0:00,0,-118.4776544,34.24389024
3153,H0014,Azusa,0,City of Pasadena,Los Angeles,3,1,WAT,2/1/1949 0:00,0,-117.9083665,34.15501145
3154,H0442,San Gabriel Hydroelectric Project,0,Los Angeles County Flood Control District,Los Angeles,4.98,"U1, U2",WAT,12/1/1987 0:00,0,-117.8556975,34.20431107
3155,H0479,Sierra,0,Southern California Edison (SCE),San Bernardino,0.48,"1, 2",WAT,1/1/1922 0:00,0,-117.6839597,34.15540187
3156,H0187,Fontana,0,Southern California Edison (SCE),San Bernardino,1.9,1,WAT,12/1/1917 0:00,0,-117.3973027,34.15528069
3157,H0298,Lytle Creek,0,Southern California Edison (SCE),San Bernardino,0.5,1,WAT,7/21/1947 0:00,0,-117.4863268,34.23162347
3159,H0137,Devil Canyon,0,California Department of Water Resources,San Bernardino,276.46,"1, 2, 3, 4",WAT,12/1/1972 0:00,0,-117.334611,34.20561108
3160,H0337,Mojave Siphon,0,California Department of Water Resources,San Bernardino,32.79,"1, 2, 3",WAT,8/1/1996 0:00,0,-117.3231311,34.30775924
3161,H0460,Santa Ana 1,0,Southern California Edison (SCE),San Bernardino,3.2,"1, 2, 3, 4",WAT,1/1/1899 12:00:00 AM,0,-117.0586738,34.14548821
3164,S0164,SEPV 2 (Gestamp - GASNA),0,X-Elio North America Inc.,San Bernardino,2,1,SUN,6/1/2012 0:00,0,-116.1532744,34.17467824
3165,S0165,Coronus 29-Palms North 1,0,Coronus,San Bernardino,1.5,Unit 1,SUN,1/15/2014 0:00,0,-116.0721102,34.17609286
3166,S0166,Coronus 29-Palms North 2,0,Coronus,San Bernardino,1.5,Unit 1,SUN,1/15/2014 0:00,0,-116.0721117,34.17617174
3167,S0167,Coronus 29-Palms North 3,0,Coronus,San Bernardino,1.5,Unit 1,SUN,1/15/2014 0:00,0,-116.0721009,34.17601351
3168,S0289,Cascade Solar PV,0,Longroad Energy,San Bernardino,18.5,1,SUN,3/19/2014 0:00,0,-116.2365662,34.16571182
3169,S9409,Highlander Solar 1 (SEPV8),0,Deriva Energy,San Bernardino,12,SEPV8,SUN,6/12/2013 0:00,0,-116.1526984,34.17060743
3170,S9410,Highlander Solar 2 (SEPV9),0,Deriva Energy,San Bernardino,9,SEPV9,SUN,6/11/2013 0:00,0,-116.0921214,34.19144472
